YearC,Argentina oth,Argentina PS,Barbados LL,Barbados oth,Belize LL,Belize PS,Brazil BB,Brazil LL,Brazil oth,Brazil PS,Canada LL,Canada oth,Canada PS,Chinese Taipei LL,Colombia oth,Colombia PS,Cuba BB,Curaçao oth,Dominica LL,Dominica oth,Dominican Republic oth,EU.España BB,EU.España LL,EU.España PS,EU.France LL,EU.Netherlands oth,EU.Portugal LL,Grenada LL,Grenada oth,Jamaica oth,Japan BB,Japan LL,Korea Rep. LL,Mexico LL,Panama BB,Panama LL,Panama PS,St. Vincent and Grenadines LL,St. Vincent and Grenadines oth,Sta. Lucia oth,Suriname LL,Trinidad and Tobago LL,Trinidad and Tobago oth,U.S.A. LL,U.S.A. oth,U.S.A. PS,UK.Bermuda oth,Venezuela BB,Venezuela LL,Venezuela oth,Venezuela PS
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,2995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2995,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,400.00001000000003,NA,NA,NA,NA,NA,NA,NA,671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3980,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,500.00001,NA,NA,NA,NA,NA,NA,NA,981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,699.99999,NA,NA,NA,NA,NA,NA,NA,951,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA,3.06901,NA,NA,1155,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,2.148,NA,NA,1607,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,400.00001000000003,NA,NA,NA,NA,1.2280200000000001,NA,NA,1255,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.00001,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,400.00001000000003,NA,NA,NA,NA,6.39403,NA,NA,1800,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,100.00001,NA,NA,NA,NA,2.212,NA,NA,1600,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.898,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8.28,NA,NA,1400,NA,NA,NA,200,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,16.17901,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA
1973,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,23.301,NA,NA,1500,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,NA,NA,NA,NA,42,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,NA
1974,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.55,NA,NA,1800,NA,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126.00001,NA,41.707,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,46.00001,NA,41,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.718999999999999,NA,NA,2300,NA,NA,NA,171,NA,NA,103,NA,NA,NA,NA,NA,NA,438,NA,91.48799,NA,NA,NA,NA,NA,NA,81,NA,NA,NA,NA,2,196,NA,97.99998000000001,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,83.00001,NA,NA,NA,181,11.569,NA,NA,2800,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.379999999999999,NA,NA,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,519,NA,NA,NA,NA,NA
1977,NA,33,NA,NA,NA,NA,NA,2,188,NA,NA,NA,NA,NA,NA,NA,2400,NA,NA,NA,41,NA,NA,266,NA,NA,NA,NA,NA,NA,NA,NA,5.769,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,19,301,NA,NA,NA,NA,NA
1978,NA,4,NA,NA,NA,NA,NA,2,632.99999,NA,NA,NA,86,4.6850000000000005,NA,NA,1800,40,NA,NA,64,981,NA,1050,NA,NA,NA,NA,1,NA,NA,NA,24.24001,NA,31,NA,689,NA,NA,100,NA,NA,NA,NA,62.999990000000004,1632.00001,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,1817.99999,1,246,NA,NA,NA,NA,4.33401,NA,NA,2000,40,NA,NA,87,300,NA,752,NA,NA,NA,NA,4,NA,NA,NA,1.112,NA,161,NA,NA,NA,NA,41,NA,NA,NA,NA,292.00001,736.99999,NA,NA,NA,NA,NA
1980,NA,17,NA,NA,NA,NA,6070,1,NA,NA,NA,NA,NA,2.946,NA,NA,2255,40,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1.217,1,1026,NA,NA,NA,NA,40,NA,NA,NA,NA,1.1,980.00001,NA,NA,NA,NA,1890
1981,NA,1,NA,78,NA,NA,13913.000010000002,0.1,NA,NA,NA,NA,180,9,NA,NA,1086,40,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,19.918,3.00001,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,180.43,2573,NA,3000.00001,NA,NA,1900
1982,137,NA,NA,72,NA,NA,18156,0.1,NA,166,NA,NA,NA,18,NA,NA,1134,40,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6.689,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,5.00002,21.99998,6.00002,NA,3111.9999900000003,NA,NA,9533.00003
1983,243,NA,NA,39,NA,NA,15642.99999,1.1,NA,301,NA,NA,NA,6.00001,NA,NA,1700,40,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,175.472,25,NA,NA,NA,NA,NA,35,NA,1,NA,NA,109.07001,588,NA,2713.9999900000003,NA,41,10022.99998
