SpeciesCode,YearC,Decade,FlagName,FleetCode,Stock,GearGrp,SchoolType,Trimester,QuadID,Lat5,Lon5,yLat5ctoid,xLon5ctoid,Catch_t
SKJ,1950,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,3,4,35,20,37.5,-22.5,129.52368
SKJ,1950,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,4,4,35,20,37.5,-22.5,463.47632
SKJ,1950,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,3,4,35,20,37.5,-22.5,24.24474
SKJ,1950,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,4,4,35,20,37.5,-22.5,86.75526
SKJ,1951,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,3,4,35,20,37.5,-22.5,78.19474
SKJ,1951,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,4,4,35,20,37.5,-22.5,279.80526
SKJ,1951,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,3,4,35,20,37.5,-22.5,22.06053
SKJ,1951,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,4,4,35,20,37.5,-22.5,78.93947
SKJ,1952,1950,Cuba,CUB,ATW,BB,n/a,1,4,20,80,22.5,-82.5,307.25
SKJ,1952,1950,Cuba,CUB,ATW,BB,n/a,2,4,20,80,22.5,-82.5,307.25
SKJ,1952,1950,Cuba,CUB,ATW,BB,n/a,3,4,20,80,22.5,-82.5,307.25
SKJ,1952,1950,Cuba,CUB,ATW,BB,n/a,4,4,20,80,22.5,-82.5,307.25
SKJ,1952,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,3,4,35,20,37.5,-22.5,105.71579
SKJ,1952,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,4,4,35,20,37.5,-22.5,378.28421
SKJ,1952,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,3,4,35,20,37.5,-22.5,21.18684
SKJ,1952,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,4,4,35,20,37.5,-22.5,75.81316
SKJ,1953,1950,Cuba,CUB,ATW,BB,n/a,1,4,20,80,22.5,-82.5,320.25
SKJ,1953,1950,Cuba,CUB,ATW,BB,n/a,2,4,20,80,22.5,-82.5,320.25
SKJ,1953,1950,Cuba,CUB,ATW,BB,n/a,3,4,20,80,22.5,-82.5,320.25
SKJ,1953,1950,Cuba,CUB,ATW,BB,n/a,4,4,20,80,22.5,-82.5,320.25
SKJ,1953,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,3,4,35,20,37.5,-22.5,122.53421
SKJ,1953,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,4,4,35,20,37.5,-22.5,438.46579
SKJ,1953,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,3,4,35,20,37.5,-22.5,49.14474
SKJ,1953,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,4,4,35,20,37.5,-22.5,175.85526
SKJ,1954,1950,Cuba,CUB,ATW,BB,n/a,1,4,20,80,22.5,-82.5,342.5
SKJ,1954,1950,Cuba,CUB,ATW,BB,n/a,2,4,20,80,22.5,-82.5,342.5
SKJ,1954,1950,Cuba,CUB,ATW,BB,n/a,3,4,20,80,22.5,-82.5,342.5
SKJ,1954,1950,Cuba,CUB,ATW,BB,n/a,4,4,20,80,22.5,-82.5,342.5
SKJ,1954,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,3,4,35,20,37.5,-22.5,90.86316
SKJ,1954,1950,EU.Portugal,EU.PRT-PT-AZORES,ATE,BB,n/a,4,4,35,20,37.5,-22.5,325.13684
SKJ,1954,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,3,4,35,20,37.5,-22.5,66.4
SKJ,1954,1950,EU.Portugal,EU.PRT-PT-MADEIRA,ATE,BB,n/a,4,4,35,20,37.5,-22.5,237.6
SKJ,1955,1950,Cuba,CUB,ATW,BB,n/a,1,4,20,80,22.5,-82.5,349
SKJ,1955,1950,Cuba,CUB,ATW,BB,n/a,2,4,20,80,22.5,-82.5,349
