year,gear,freq_class,Nr
2012,HL,38,2
2012,HL,40,4
2012,HL,42,6
2012,HL,44,9
2012,HL,46,5
2012,HL,48,3
2012,HL,50,1
2012,HL,52,4
2012,HL,54,4
2012,HL,56,1
2012,HL,58,1
2012,HL,60,1
2012,HL,62,4
2012,HL,66,1
2012,HL,68,2
2012,HL,70,1
2012,HL,72,1
2012,HL,74,2
2013,HL,22,1
2013,HL,44,1
2013,HL,48,1
2013,HL,50,1
2013,HL,52,1
2013,HL,54,2
2013,HL,58,1
2013,HL,60,2
2013,HL,70,1
2013,HL,72,1
2013,HL,74,1
2013,HL,76,2
2013,HL,78,2
2014,HL,48,4
2014,HL,50,2
2014,HL,52,3
2014,HL,54,5
2014,HL,56,5
2014,HL,58,1
2014,HL,60,4
2014,HL,62,2
2014,HL,66,2
2014,HL,68,3
2014,HL,70,3
2014,HL,72,3
2014,HL,78,1
2014,HL,80,1
2014,HL,86,1
2014,HL,94,2
2015,HL,34,2
2015,HL,36,1
2015,HL,38,4
2015,HL,40,13
2015,HL,42,19
2015,HL,44,38
2015,HL,46,34
2015,HL,48,27
2015,HL,50,28
2015,HL,52,32
2015,HL,54,20
2015,HL,56,15
2015,HL,58,17
2015,HL,60,6
2015,HL,62,2
2015,HL,64,6
2015,HL,66,4
2015,HL,68,1
2015,HL,70,1
2015,HL,72,2
2015,HL,74,1
2015,HL,80,1
2016,HL,40,1
2016,HL,42,2
2016,HL,44,3
2016,HL,46,3
2016,HL,48,4
2016,HL,50,4
2016,HL,52,11
2016,HL,54,7
2016,HL,56,8
2016,HL,58,4
2016,HL,60,2
2016,HL,64,2
2016,HL,66,4
2016,HL,70,1
2016,HL,76,1
2016,HL,78,1
2016,HL,80,1
2017,BB,28,1
2017,BB,30,3
2017,BB,32,3
2017,BB,34,32
2017,BB,36,162
2017,BB,38,274
2017,BB,40,83
2017,BB,42,106
2017,BB,44,229
2017,BB,46,442
2017,BB,48,616
2017,BB,50,705
2017,BB,52,671
2017,BB,54,384
2017,BB,56,427
2017,BB,58,438
2017,BB,60,109
2017,BB,62,53
2017,BB,64,9
2017,BB,66,1
2017,BB,68,1
2017,HL,32,1
2017,HL,34,1
2017,HL,36,1
2017,HL,38,12
2017,HL,40,114
2017,HL,42,288
2017,HL,44,395
2017,HL,46,272
2017,HL,48,171
2017,HL,50,109
2017,HL,52,51
2017,HL,54,44
2017,HL,56,28
2017,HL,58,20
2017,HL,60,12
2017,HL,62,4
2017,HL,64,8
2017,HL,66,1
2018,BB,28,2
2018,BB,30,12
2018,BB,32,53
2018,BB,34,171
2018,BB,36,239
2018,BB,38,134
2018,BB,40,82
2018,BB,42,162
2018,BB,44,250
2018,BB,46,512
2018,BB,48,733
2018,BB,50,1306
2018,BB,52,1236
2018,BB,54,972
2018,BB,56,1022
2018,BB,58,876
2018,BB,60,759
2018,BB,62,408
2018,BB,64,129
2018,BB,66,38
2018,BB,68,2
2018,BB,80,1
2018,HL,36,5
2018,HL,38,33
2018,HL,40,68
2018,HL,42,205
2018,HL,44,198
2018,HL,46,216
2018,HL,48,264
2018,HL,50,101
2018,HL,52,86
2018,HL,54,49
2018,HL,56,32
2018,HL,58,39
2018,HL,60,31
2018,HL,62,23
2018,HL,64,25
2018,HL,66,31
2018,HL,68,17
2018,HL,70,19
2018,HL,72,11
2018,HL,74,3
